AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Other Organizations,Source,Short Description,Long Description,Donor Project ID,Donor Secondary Project ID
906000993216,Reference,United States,,Funding,,,,,,,,Geocoding 2013,,AmXcpoM3uT2,AmXcpoM3uT2,
906000993218,Savio,United States,,Funding,,,,,,,,Geocoding 2013,,Ug0dAPuIcS4,Ug0dAPuIcS4,
906000993220,St Charles,United States,,Funding,,,,,,,,Geocoding 2013,,J2YoZznthJB,J2YoZznthJB,
906000993222,Ste Famille de Nazareth ,United States,,Funding,,,,,,,,Geocoding 2013,,R9R8wQfkaIe,R9R8wQfkaIe,
906000993224,Taba Congo,United States,,Funding,,,,,,,,Geocoding 2013,,sWHn4EltKqq,sWHn4EltKqq,
906000993226,Ave Maria,United States,,Funding,,,,,,,,Geocoding 2013,,i8krTPfy1DE,i8krTPfy1DE,
906000993228,Baraka,United States,,Funding,,,,,,,,Geocoding 2013,,ep6gaJrhIxO,ep6gaJrhIxO,
906000993230,Katuba HGR,United States,,Funding,,,,,,,,Geocoding 2013,,pkQTFji35rY,pkQTFji35rY,
906000993232,Lwizi ,United States,,Funding,,,,,,,,Geocoding 2013,,YEI7k9mJCn9,YEI7k9mJCn9,
906000993234,Manne Cachee,United States,,Funding,,,,,,,,Geocoding 2013,,iVkqAEQf0Ld,iVkqAEQf0Ld,
906000993236,Divin Messie,United States,,Funding,,,,,,,,Geocoding 2013,,lH6ZWy27mkS,lH6ZWy27mkS,
906000993238,Franciphar,United States,,Funding,,,,,,,,Geocoding 2013,,K5HhLJMtFFG,K5HhLJMtFFG,
906000993240,Jamma Yetu,United States,,Funding,,,,,,,,Geocoding 2013,,bZwaDLusdSg,bZwaDLusdSg,
906000993242,Kimilolo,United States,,Funding,,,,,,,,Geocoding 2013,,LOdsolX68i0,LOdsolX68i0,
906000993244,Kimilolo,United States,,Funding,,,,,,,,Geocoding 2013,,QDuNZeC77vt,QDuNZeC77vt,
906000993246,Mama Wa Huruma,United States,,Funding,,,,,,,,Geocoding 2013,,Be4mwhU4c9V,Be4mwhU4c9V,
906000993248,Mama wa Uruma,United States,,Funding,,,,,,,,Geocoding 2013,,DTxLG6n4fcW,DTxLG6n4fcW,
906000993250,Mimbulu,United States,,Funding,,,,,,,,Geocoding 2013,,H9yIPRNzALG,H9yIPRNzALG,
906000993252,Mutuale,United States,,Funding,,,,,,,,Geocoding 2013,,CZaXMKhsnuX,CZaXMKhsnuX,
906000993254,Somika,United States,,Funding,,,,,,,,Geocoding 2013,,tuFFJZK1E3e,tuFFJZK1E3e,
906000993256,Ste Bernadette,United States,,Funding,,,,,,,,Geocoding 2013,,ZKxqW2GenTc,ZKxqW2GenTc,
906000993258,Triangle,United States,,Funding,,,,,,,,Geocoding 2013,,GtFTwwzNxYV,GtFTwwzNxYV,
906000993260,A.Barbier,United States,,Funding,,,,,,,,Geocoding 2013,,W1LvdiWpU6K,W1LvdiWpU6K,
906000993262,Awadi,United States,,Funding,,,,,,,,Geocoding 2013,,Qsxd9nGcUSp,Qsxd9nGcUSp,
906000993264,Bakhita ,United States,,Funding,,,,,,,,Geocoding 2013,,ehxNmDo2a5v,ehxNmDo2a5v,
906000993266,Eben Ezer ,United States,,Funding,,,,,,,,Geocoding 2013,,OasE6itcEkA,OasE6itcEkA,
906000993268,Kenya 1,United States,,Funding,,,,,,,,Geocoding 2013,,vGW29iPzSN1,vGW29iPzSN1,
906000993270,Kenya HGR,United States,,Funding,,,,,,,,Geocoding 2013,,GRjs9nQ1HsM,GRjs9nQ1HsM,
906000993272,Paul Mari B,United States,,Funding,,,,,,,,Geocoding 2013,,OT5jPx14IPr,OT5jPx14IPr,
906000993274,TBD1 - Kenya,United States,,Funding,,,,,,,,Geocoding 2013,,QXGHno8EQ7f,QXGHno8EQ7f,
906000993276,TBD2 - Kenya,United States,,Funding,,,,,,,,Geocoding 2013,,gygC0iFqm7d,gygC0iFqm7d,
906000993278,TBD3 - Kenya,United States,,Funding,,,,,,,,Geocoding 2013,,RFKz7p1oUDP,RFKz7p1oUDP,
906000993280,TBD4 - Kenya,United States,,Funding,,,,,,,,Geocoding 2013,,EtHBHPuDo0r,EtHBHPuDo0r,
906000993282,Bumi,United States,,Funding,,,,,,,,Geocoding 2013,,xdjlZb5MxNV,xdjlZb5MxNV,
906000993284,Bumi ,United States,,Funding,,,,,,,,Geocoding 2013,,qowRPdVmNqv,qowRPdVmNqv,
906000993286,Crina ,United States,,Funding,,,,,,,,Geocoding 2013,,T0UEn5RGbEb,T0UEn5RGbEb,
906000993288,Kamalondo HGR,United States,,Funding,,,,,,,,Geocoding 2013,,smnrklQUooP,smnrklQUooP,
906000993290,TBD - Kamalondo,United States,,Funding,,,,,,,,Geocoding 2013,,F3gbn1rVbDZ,F3gbn1rVbDZ,
906000993292,Jardin d'Eden CM,United States,,Funding,,,,,,,,Geocoding 2013,,AeMQW9s2t83,AeMQW9s2t83,
906000993294,Penny Wise And Guts ,United States,,Funding,,,,,,,,Geocoding 2013,,mh2s9zHs6dP,mh2s9zHs6dP,
906000993296,Ste Famille de Nazareth ,United States,,Funding,,,,,,,,Geocoding 2013,,LjjTIOJC16U,LjjTIOJC16U,
906000993298,TBD1 - Kampemba,United States,,Funding,,,,,,,,Geocoding 2013,,WinWAJPbgBj,WinWAJPbgBj,
906000993300,TBD2 - Kampemba,United States,,Funding,,,,,,,,Geocoding 2013,,YJKdL07CHk1,YJKdL07CHk1,
906000993302,TBD3 - Kampemba,United States,,Funding,,,,,,,,Geocoding 2013,,s1KeM67zu9K,s1KeM67zu9K,
906000993304,TBD4 - Kampemba,United States,,Funding,,,,,,,,Geocoding 2013,,KHok3230qCy,KHok3230qCy,
906000993306,TBD5 - Kampemba,United States,,Funding,,,,,,,,Geocoding 2013,,ksZfbkCyhA8,ksZfbkCyhA8,
906000993308,TBD6 - Kampemba,United States,,Funding,,,,,,,,Geocoding 2013,,RlmhQJvub2a,RlmhQJvub2a,
906000993310,Bakhita ,United States,,Funding,,,,,,,,Geocoding 2013,,X15CfJlCYBm,X15CfJlCYBm,
906000993312,Kalebuka ,United States,,Funding,,,,,,,,Geocoding 2013,,CfWmIkRTMyj,CfWmIkRTMyj,
906000993314,Kenya 1,United States,,Funding,,,,,,,,Geocoding 2013,,HTtNYZE6qho,HTtNYZE6qho,
906000993316,Kenya 1 ,United States,,Funding,,,,,,,,Geocoding 2013,,Un4HBrLeeZR,Un4HBrLeeZR,
906000993318,Kenya 2,United States,,Funding,,,,,,,,Geocoding 2013,,R9hzHeuJvHo,R9hzHeuJvHo,
906000993320,Kiba ,United States,,Funding,,,,,,,,Geocoding 2013,,jhr1a0ZjOMG,jhr1a0ZjOMG,
906000993322,Mama wa Watoto ,United States,,Funding,,,,,,,,Geocoding 2013,,uNGDvNIfov1,uNGDvNIfov1,
906000993324,Adventiste Lubumbashi CM,United States,,Funding,,,,,,,,Geocoding 2013,,evpNqLFIEy3,evpNqLFIEy3,
906000993326,CMCD POLYCLINIQUE,United States,,Funding,,,,,,,,Geocoding 2013,,L6XpRktiWVN,L6XpRktiWVN,
906000993328,Camps ASS,United States,,Funding,,,,,,,,Geocoding 2013,,JcmUwcZxre4,JcmUwcZxre4,
906000993330,Clinique Universitaire Lubumbashi (CUL),United States,,Funding,,,,,,,,Geocoding 2013,,v50TSKnLIWG,v50TSKnLIWG,
906000993332,Gambela,United States,,Funding,,,,,,,,Geocoding 2013,,jgqV27FaGX0,jgqV27FaGX0,
906000993334,KASAPA,United States,,Funding,,,,,,,,Geocoding 2013,,miet65hC5lO,miet65hC5lO,
906000993336,Kalubwe II,United States,,Funding,,,,,,,,Geocoding 2013,,JCWqSji03MN,JCWqSji03MN,
906000993338,Kitumaini Polyclinique,United States,,Funding,,,,,,,,Geocoding 2013,,b9qiT4tfTDP,b9qiT4tfTDP,
906000993340,Lumumba,United States,,Funding,,,,,,,,Geocoding 2013,,YyTN7q7STwG,YyTN7q7STwG,
906000993342,Makutano,United States,,Funding,,,,,,,,Geocoding 2013,,T4BxH7qzc10,T4BxH7qzc10,
906000993344,Medicare,United States,,Funding,,,,,,,,Geocoding 2013,,y2QnIhxSRWP,y2QnIhxSRWP,
906000993346,Polyclinique - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,UeS3WTPbMEN,UeS3WTPbMEN,
906000993348,Polyclinique De L'esperance,United States,,Funding,,,,,,,,Geocoding 2013,,yDYDjLlGZda,yDYDjLlGZda,
906000993350,Radem Gambela,United States,,Funding,,,,,,,,Geocoding 2013,,cJnZ5pr0YSs,cJnZ5pr0YSs,
906000993352,Saint-Esprit ,United States,,Funding,,,,,,,,Geocoding 2013,,NJoxRhWLsX8,NJoxRhWLsX8,
906000993354,Scholastique ,United States,,Funding,,,,,,,,Geocoding 2013,,hIToIKgbaOy,hIToIKgbaOy,
906000993356,Sendwe CE,United States,,Funding,,,,,,,,Geocoding 2013,,BPds6OvZz6p,BPds6OvZz6p,
906000993358,Sendwe ,United States,,Funding,,,,,,,,Geocoding 2013,,VOsFaBca204,VOsFaBca204,
906000993360,Sendwe HGPR,United States,,Funding,,,,,,,,Geocoding 2013,,KbFju6VQ8Yr,KbFju6VQ8Yr,
906000993362,Sendwe HGR,United States,,Funding,,,,,,,,Geocoding 2013,,KxmtTMprA6x,KxmtTMprA6x,
906000993364,St Esprit,United States,,Funding,,,,,,,,Geocoding 2013,,Te0bOUyApYc,Te0bOUyApYc,
906000993366,St Marcel,United States,,Funding,,,,,,,,Geocoding 2013,,mIthV3Dz6Zs,mIthV3Dz6Zs,
906000993368,TBD1 - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,ba0ErR3eTKL,ba0ErR3eTKL,
906000993370,TBD2 - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,qddyJ8sEjb0,qddyJ8sEjb0,
906000993372,TBD3 - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,aIVjKipCYw5,aIVjKipCYw5,
906000993374,TBD4 - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,iF5jJMYrOl6,iF5jJMYrOl6,
906000993376,TBD5 - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,BuNZ66tzrRT,BuNZ66tzrRT,
906000993378,TBD7 - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,ivCoqUqbJxX,ivCoqUqbJxX,
906000993380,TBD8 - Lubumbashi,United States,,Funding,,,,,,,,Geocoding 2013,,jEi5JV8IzZ5,jEi5JV8IzZ5,
906000993382,Tshombe,United States,,Funding,,,,,,,,Geocoding 2013,,JXQxL0RpFvn,JXQxL0RpFvn,
906000993384,Flora,United States,,Funding,,,,,,,,Geocoding 2013,,tS2uRkhhwCJ,tS2uRkhhwCJ,
906000993386,Gecamines Clinique - Mubunda,United States,,Funding,,,,,,,,Geocoding 2013,,yvkYOcYKF28,yvkYOcYKF28,
906000993388,Gecamines Sud Hop,United States,,Funding,,,,,,,,Geocoding 2013,,V2czG781LGm,V2czG781LGm,
906000993390,Gemima ,United States,,Funding,,,,,,,,Geocoding 2013,,gvtHvH9oXpo,gvtHvH9oXpo,
906000993392,Mumbunda 1,United States,,Funding,,,,,,,,Geocoding 2013,,AoCcw7dE5YM,AoCcw7dE5YM,
906000993394,Mumbunda 2,United States,,Funding,,,,,,,,Geocoding 2013,,LLreBLEEZLa,LLreBLEEZLa,
906000993396,Munua ,United States,,Funding,,,,,,,,Geocoding 2013,,IVuoTqzo7Q2,IVuoTqzo7Q2,
906000993398,St Francois D'assise,United States,,Funding,,,,,,,,Geocoding 2013,,mnXdYOPm4r8,mnXdYOPm4r8,
906000993400,Faveur De Dieu,United States,,Funding,,,,,,,,Geocoding 2013,,yE2LMiMWTaq,yE2LMiMWTaq,
906000993402,La Grace - Ruashi,United States,,Funding,,,,,,,,Geocoding 2013,,JhmTDw6sSE0,JhmTDw6sSE0,
906000993404,Sion,United States,,Funding,,,,,,,,Geocoding 2013,,aWk1rbJiKgD,aWk1rbJiKgD,
906000993406,Wantashi,United States,,Funding,,,,,,,,Geocoding 2013,,I8a4NOmR0Zb,I8a4NOmR0Zb,
906000993408,Yambala,United States,,Funding,,,,,,,,Geocoding 2013,,oyOkxx9jZvZ,oyOkxx9jZvZ,
906000993410,Aenaf Partage-Attitude ,United States,,Funding,,,,,,,,Geocoding 2013,,SE9ROmopNFy,SE9ROmopNFy,
906000993412,Hakika HGR,United States,,Funding,,,,,,,,Geocoding 2013,,Amjh045ZXr5,Amjh045ZXr5,
906000993414,Mwana Bwato ,United States,,Funding,,,,,,,,Geocoding 2013,,KEGsq6yo1Ia,KEGsq6yo1Ia,
906000993416,Oracle de l'Eternel,United States,,Funding,,,,,,,,Geocoding 2013,,qDbTmCdfNRQ,qDbTmCdfNRQ,
906000993418,Polyclinique Fraternite,United States,,Funding,,,,,,,,Geocoding 2013,,tdri2x745Iv,tdri2x745Iv,
906000993420,Rwashi HGR,United States,,Funding,,,,,,,,Geocoding 2013,,bHzuG2AmGSC,bHzuG2AmGSC,
906000993422,TBD1 - Rwashi,United States,,Funding,,,,,,,,Geocoding 2013,,JehJmg7LsXQ,JehJmg7LsXQ,
906000993424,TBD2 - Rwashi,United States,,Funding,,,,,,,,Geocoding 2013,,fHInXBBdc3N,fHInXBBdc3N,
906000993426,TBD3 - Rwashi,United States,,Funding,,,,,,,,Geocoding 2013,,uQcl29w44Ow,uQcl29w44Ow,
906000993428,TBD4 - Rwashi,United States,,Funding,,,,,,,,Geocoding 2013,,jQ1u7g0KKG0,jQ1u7g0KKG0,
906000993430,Afia Mzuri ,United States,,Funding,,,,,,,,Geocoding 2013,,JKQBhzXraeA,JKQBhzXraeA,
906000993432,Amani,United States,,Funding,,,,,,,,Geocoding 2013,,Sh4NVQJ4Me3,Sh4NVQJ4Me3,
906000993434,Amani-Tshamilemba ,United States,,Funding,,,,,,,,Geocoding 2013,,jqArWBgKSBz,jqArWBgKSBz,
906000993436,Bakhita 2 ,United States,,Funding,,,,,,,,Geocoding 2013,,fC2nPYZ0SrO,fC2nPYZ0SrO,
906000993438,Camp Fabrique,United States,,Funding,,,,,,,,Geocoding 2013,,uurLKwCopzf,uurLKwCopzf,
906000993440,Etoile Brillante Du Matin CM,United States,,Funding,,,,,,,,Geocoding 2013,,gTwH1UqYEw6,gTwH1UqYEw6,
906000993442,Famika,United States,,Funding,,,,,,,,Geocoding 2013,,SkbLU2qeUpy,SkbLU2qeUpy,
906000993444,Famika ,United States,,Funding,,,,,,,,Geocoding 2013,,x9CCQDTPfcu,x9CCQDTPfcu,
906000993446,Hopital Radem ,United States,,Funding,,,,,,,,Geocoding 2013,,vEFRaQaTc0N,vEFRaQaTc0N,
906000993448,Jenovic ,United States,,Funding,,,,,,,,Geocoding 2013,,frgxGXJe9U7,frgxGXJe9U7,
906000993450,Kigoma Est,United States,,Funding,,,,,,,,Geocoding 2013,,tOMbsmjarqZ,tOMbsmjarqZ,
906000993452,Kigoma Ouest,United States,,Funding,,,,,,,,Geocoding 2013,,A8imAoOyPOY,A8imAoOyPOY,
906000993454,Lumiere Tshamilemba ,United States,,Funding,,,,,,,,Geocoding 2013,,nSNAlCGf9Ye,nSNAlCGf9Ye,
906000993456,MAMA ELISABETH ,United States,,Funding,,,,,,,,Geocoding 2013,,mmboNKvarrT,mmboNKvarrT,
906000993458,MLK POLYCLINIQUE,United States,,Funding,,,,,,,,Geocoding 2013,,iL3nQeNQNUR,iL3nQeNQNUR,
906000993460,Medaille d'Or CM,United States,,Funding,,,,,,,,Geocoding 2013,,YUyqRTcqURN,YUyqRTcqURN,
906000993462,Poly du Bel - air ,United States,,Funding,,,,,,,,Geocoding 2013,,V7tnmpZ2tNG,V7tnmpZ2tNG,
906000993464,SNCC Lubumbashi HGR,United States,,Funding,,,,,,,,Geocoding 2013,,SYMWgWpSY9A,SYMWgWpSY9A,
906000993466,St Thomas ,United States,,Funding,,,,,,,,Geocoding 2013,,NXrqLaJMmIu,NXrqLaJMmIu,
906000993468,la Promesse CM,United States,,Funding,,,,,,,,Geocoding 2013,,csAUhz9Rlqi,csAUhz9Rlqi,
906000993470,Rwashi HGR,United States,,Funding,,,,,,,,Geocoding 2013,,IBfC0WPbVbp,IBfC0WPbVbp,
906000993472,Vangu HGR,United States,,Funding,,,,,,,,Geocoding 2013,,LO3q2ZZQHVt,LO3q2ZZQHVt,
906000993474,Fma Mokambo,United States,,Funding,,,,,,,,Geocoding 2013,,REPEj6UeZmL,REPEj6UeZmL,
906000993476,Bukama HGR,United States,,Funding,,,,,,,,Geocoding 2013,,aMgy2B44uyo,aMgy2B44uyo,
906000993478,Congo SNCC,United States,,Funding,,,,,,,,Geocoding 2013,,vcWF207PZ4u,vcWF207PZ4u,
906000993480,Kabamoma,United States,,Funding,,,,,,,,Geocoding 2013,,ZfOe6p0zIQn,ZfOe6p0zIQn,
906000993482,Kibangu,United States,,Funding,,,,,,,,Geocoding 2013,,Q8zBsDPkwKn,Q8zBsDPkwKn,
906000993484,Makala,United States,,Funding,,,,,,,,Geocoding 2013,,EredNxptQH8,EredNxptQH8,
906000993486,Methodiste - Bukama,United States,,Funding,,,,,,,,Geocoding 2013,,qM9S2Qi73NQ,qM9S2Qi73NQ,
906000993488,Kalombo 1,United States,,Funding,,,,,,,,Geocoding 2013,,hgSdsfBIuLh,hgSdsfBIuLh,
906000993490,Kipamba 2 ,United States,,Funding,,,,,,,,Geocoding 2013,,y76R5fxx6Kv,y76R5fxx6Kv,
906000993492,Kitembo ,United States,,Funding,,,,,,,,Geocoding 2013,,WmtwybwSAof,WmtwybwSAof,
906000993494,Mangi 2 ,United States,,Funding,,,,,,,,Geocoding 2013,,DHK4PoBK2Bd,DHK4PoBK2Bd,
906000993496,Mangi 4 ,United States,,Funding,,,,,,,,Geocoding 2013,,XTqsRehicTr,XTqsRehicTr,
906000993498,Kambo,United States,,Funding,,,,,,,,Geocoding 2013,,TDsrm8m2dGq,TDsrm8m2dGq,
906000993500,Kamungu,United States,,Funding,,,,,,,,Geocoding 2013,,GNT0suAvzBB,GNT0suAvzBB,
906000993502,Kime,United States,,Funding,,,,,,,,Geocoding 2013,,KR1sL5UTd6A,KR1sL5UTd6A,
906000993504,Kina,United States,,Funding,,,,,,,,Geocoding 2013,,AXIUF43zHII,AXIUF43zHII,
906000993506,Kayamba HGR,United States,,Funding,,,,,,,,Geocoding 2013,,kJNXZB1nFMS,kJNXZB1nFMS,
906000993508,Mobela ,United States,,Funding,,,,,,,,Geocoding 2013,,I05CIpkaL3N,I05CIpkaL3N,
906000993510,Amani-Kitenge,United States,,Funding,,,,,,,,Geocoding 2013,,S03Zj2xbQgV,S03Zj2xbQgV,
906000993512,Budi,United States,,Funding,,,,,,,,Geocoding 2013,,n1BeQMf9Arf,n1BeQMf9Arf,
906000993514,Kitenge HGR,United States,,Funding,,,,,,,,Geocoding 2013,,eqfYjAVyCFq,eqfYjAVyCFq,
906000993516,Makwidi,United States,,Funding,,,,,,,,Geocoding 2013,,opqmVvcoVmb,opqmVvcoVmb,
906000993518,Bumi,United States,,Funding,,,,,,,,Geocoding 2013,,uDvQxgsEZDl,uDvQxgsEZDl,
906000993520,Kamina HGR,United States,,Funding,,,,,,,,Geocoding 2013,,a0c4LnAXdHt,a0c4LnAXdHt,
906000993522,Katuba 2 - Kamina,United States,,Funding,,,,,,,,Geocoding 2013,,peh8WuMfKLa,peh8WuMfKLa,
906000993524,Mere Sauveur,United States,,Funding,,,,,,,,Geocoding 2013,,qt6qSUxjTxi,qt6qSUxjTxi,
906000993526,Quartier 52,United States,,Funding,,,,,,,,Geocoding 2013,,c8LfcydnDi3,c8LfcydnDi3,
906000993528,Regie des Voies Aeriennes ,United States,,Funding,,,,,,,,Geocoding 2013,,hjLoJOMNP0q,hjLoJOMNP0q,
906000993530,Shungu,United States,,Funding,,,,,,,,Geocoding 2013,,NcCRhzIj92p,NcCRhzIj92p,
906000993532,Grelka,United States,,Funding,,,,,,,,Geocoding 2013,,dQOhpubpLo7,dQOhpubpLo7,
906000993534,Kipukwe,United States,,Funding,,,,,,,,Geocoding 2013,,TDst3e4xcTo,TDst3e4xcTo,
906000993536,Samba,United States,,Funding,,,,,,,,Geocoding 2013,,ax5mQro9w9x,ax5mQro9w9x,
906000993538,Songa HGR,United States,,Funding,,,,,,,,Geocoding 2013,,fafCCBWgmcF,fafCCBWgmcF,
906000993540,Butombe,United States,,Funding,,,,,,,,Geocoding 2013,,kWwg7eAUo0B,kWwg7eAUo0B,
906000993542,Kyamakanza,United States,,Funding,,,,,,,,Geocoding 2013,,YvcJVTiUQbK,YvcJVTiUQbK,
906000993544,Lubondoyi ,United States,,Funding,,,,,,,,Geocoding 2013,,MTxyW3qxzzC,MTxyW3qxzzC,
906000993546,Mukomutombo,United States,,Funding,,,,,,,,Geocoding 2013,,wcMUOKsGWek,wcMUOKsGWek,
906000993548,Nseya,United States,,Funding,,,,,,,,Geocoding 2013,,sjAbJd3YybW,sjAbJd3YybW,
906000993550,Kabamba ,United States,,Funding,,,,,,,,Geocoding 2013,,O3hvgaPY4KV,O3hvgaPY4KV,
906000993552,Kafumbe ,United States,,Funding,,,,,,,,Geocoding 2013,,I9yl20KTHo4,I9yl20KTHo4,
906000993554,Mulongo HGR,United States,,Funding,,,,,,,,Geocoding 2013,,UhN54NgDeKg,UhN54NgDeKg,
906000993556,Ngoya ,United States,,Funding,,,,,,,,Geocoding 2013,,dCqHFQekZme,dCqHFQekZme,
906000993558,Bambu HGR,United States,,Funding,,,,,,,,Geocoding 2013,,pbPDGDlWbw1,pbPDGDlWbw1,
906000993560,Dala ,United States,,Funding,,,,,,,,Geocoding 2013,,JvxtaMDJTi4,JvxtaMDJTi4,
906000993562,Kobu ,United States,,Funding,,,,,,,,Geocoding 2013,,F2039Nvkt47,F2039Nvkt47,
906000993564,Lalo ,United States,,Funding,,,,,,,,Geocoding 2013,,nKhIyMYgSuh,nKhIyMYgSuh,
906000993566,Nyangaray ,United States,,Funding,,,,,,,,Geocoding 2013,,R6K8ahNUabS,R6K8ahNUabS,
906000993568,TBD1 - Bambu,United States,,Funding,,,,,,,,Geocoding 2013,,ArkqFhPbOcy,ArkqFhPbOcy,
906000993570,TBD2- Bambu,United States,,Funding,,,,,,,,Geocoding 2013,,g6rSN9FkSFd,g6rSN9FkSFd,
906000993572,TBD3 - Bambu,United States,,Funding,,,,,,,,Geocoding 2013,,aAGlamvt0fJ,aAGlamvt0fJ,
906000993574,TBD4 - Bambu,United States,,Funding,,,,,,,,Geocoding 2013,,WKakrvN2rAU,WKakrvN2rAU,
906000993576,Adventiste Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,iZ2KBRRDq5C,iZ2KBRRDq5C,
906000993578,Central,United States,,Funding,,,,,,,,Geocoding 2013,,apr84YqP9u2,apr84YqP9u2,
906000993580,Kindia,United States,,Funding,,,,,,,,Geocoding 2013,,IHXNRxY2Kmo,IHXNRxY2Kmo,
906000993582,Lembabo,United States,,Funding,,,,,,,,Geocoding 2013,,BGD6HP4pm3u,BGD6HP4pm3u,
906000993584,Ngezi/PNC,United States,,Funding,,,,,,,,Geocoding 2013,,FuGDjZUlAFF,FuGDjZUlAFF,
906000993586,Nyakasanza,United States,,Funding,,,,,,,,Geocoding 2013,,IPgaZKBVP2e,IPgaZKBVP2e,
906000993588,Simbiliabo,United States,,Funding,,,,,,,,Geocoding 2013,,IyFoE9YHdkw,IyFoE9YHdkw,
906000993590,TBD1 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,z5W0iRS8X5k,z5W0iRS8X5k,
906000993592,TBD10 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,cJhBCzd3u5U,cJhBCzd3u5U,
906000993594,TBD2 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,Vm29SzNK4Nx,Vm29SzNK4Nx,
906000993596,TBD3 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,wqZx3kji6sO,wqZx3kji6sO,
906000993598,TBD4 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,KjJca5LgNTw,KjJca5LgNTw,
906000993600,TBD5 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,WTTqa2kdnaH,WTTqa2kdnaH,
906000993602,TBD6 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,bT26xSSzW5n,bT26xSSzW5n,
906000993604,TBD7 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,kOnnQO8JoC4,kOnnQO8JoC4,
906000993606,TBD8 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,nx7TUmqSgQw,nx7TUmqSgQw,
906000993608,TBD9 - Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,ZwvaLKyQTeX,ZwvaLKyQTeX,
906000993610,Abelkozo  ,United States,,Funding,,,,,,,,Geocoding 2013,,oA6fBrPyksF,oA6fBrPyksF,
906000993612,Lodjo ,United States,,Funding,,,,,,,,Geocoding 2013,,FwQMZBGVjsp,FwQMZBGVjsp,
906000993614,Mongbwalu HGR,United States,,Funding,,,,,,,,Geocoding 2013,,RtXybbchwh6,RtXybbchwh6,
906000993616,Notre Dame de la Charite Maternelle ,United States,,Funding,,,,,,,,Geocoding 2013,,NGlLpzxlcyn,NGlLpzxlcyn,
906000993618,PLUTO ,United States,,Funding,,,,,,,,Geocoding 2013,,wfBhRpe3jv2,wfBhRpe3jv2,
906000993620,SAYO ,United States,,Funding,,,,,,,,Geocoding 2013,,aTlJMOCMdVP,aTlJMOCMdVP,
906000993622,TBD1 - Mongbwalu,United States,,Funding,,,,,,,,Geocoding 2013,,ZvG7CpQNCLe,ZvG7CpQNCLe,
906000993624,TBD2 - Mongbwalu,United States,,Funding,,,,,,,,Geocoding 2013,,yWr4mhYoik5,yWr4mhYoik5,
906000993626,TBD3 - Mongbwalu,United States,,Funding,,,,,,,,Geocoding 2013,,B0lbL9VqGza,B0lbL9VqGza,
906000993628,TBD4 - Mongbwalu,United States,,Funding,,,,,,,,Geocoding 2013,,D71GvzmVurz,D71GvzmVurz,
906000993630,Baimani ,United States,,Funding,,,,,,,,Geocoding 2013,,HD19sZfVCbR,HD19sZfVCbR,
906000993632,Communaute Emmanuel 39 Iga Bariere ,United States,,Funding,,,,,,,,Geocoding 2013,,qsA2gQ4Ziq3,qsA2gQ4Ziq3,
906000993634,Lopa ,United States,,Funding,,,,,,,,Geocoding 2013,,z0MHUSViB0i,z0MHUSViB0i,
906000993636,Nizi ,United States,,Funding,,,,,,,,Geocoding 2013,,BN338gBHGgx,BN338gBHGgx,
906000993638,Nizi HGR,United States,,Funding,,,,,,,,Geocoding 2013,,PRzerCk0tzx,PRzerCk0tzx,
906000993640,TBD1 - Nizi,United States,,Funding,,,,,,,,Geocoding 2013,,QHZ4fOl0oO0,QHZ4fOl0oO0,
906000993642,TBD2 - Nizi,United States,,Funding,,,,,,,,Geocoding 2013,,ywK0ZDUVly8,ywK0ZDUVly8,
906000993644,TBD3 - Nizi,United States,,Funding,,,,,,,,Geocoding 2013,,FYLZ8flnFlJ,FYLZ8flnFlJ,
906000993646,TBD4 - Nizi,United States,,Funding,,,,,,,,Geocoding 2013,,a4CzRQDgfKU,a4CzRQDgfKU,
906000993648,Adventisite Bunia,United States,,Funding,,,,,,,,Geocoding 2013,,sYNOJFUj063,sYNOJFUj063,
906000993650,Bigo ,United States,,Funding,,,,,,,,Geocoding 2013,,gCyk2Iw432Q,gCyk2Iw432Q,
906000993652,Bora Uzima,United States,,Funding,,,,,,,,Geocoding 2013,,K4NnAfdL1iS,K4NnAfdL1iS,
